X,Y,Rang,Type,ID
767920.864040666,6272445.66531857,4,Site,91
767929.079452932,6272441.58907106,4,Site,92
767937.294875745,6272437.512834,4,Site,93
767945.510309108,6272433.43660741,4,Site,94
767953.725753019,6272429.36039129,4,Site,95
767961.941207478,6272425.28418562,4,Site,96
767970.156672486,6272421.20799043,4,Site,97
767978.372148043,6272417.13180569,4,Site,98
767986.587634147,6272413.05563142,4,Site,99
767994.8031308,6272408.97946761,4,Site,100
768003.018638002,6272404.90331427,4,Site,101
768011.234155752,6272400.82717138,4,Site,102
768019.44968405,6272396.75103897,4,Site,103
768027.283362112,6272393.34245429,4,Site,104
768035.49424684,6272389.24832361,4,Site,105
768043.705142157,6272385.15420339,4,Site,106
768051.916048061,6272381.06009362,4,Site,107
768060.126964554,6272376.9659943,4,Site,108
768068.337891635,6272372.87190543,4,Site,109
768076.548829304,6272368.77782701,4,Site,110
768084.759777561,6272364.68375904,4,Site,111
768092.970736406,6272360.58970153,4,Site,112
768101.181705839,6272356.49565446,4,Site,113
768109.392685859,6272352.40161785,4,Site,114
768117.603676468,6272348.30759168,4,Site,115
767924.638186321,6272441.32167105,4,Site,116
767932.84898555,6272437.22757455,4,Site,117
767941.059795366,6272433.13348849,4,Site,118
767949.270615771,6272429.03941289,4,Site,119
767957.481446763,6272424.94534773,4,Site,120
767965.692288343,6272420.85129303,4,Site,121
767973.903140511,6272416.75724878,4,Site,122
767982.114003267,6272412.66321498,4,Site,123
767990.324876611,6272408.56919163,4,Site,124
767998.535760543,6272404.47517873,4,Site,125
768006.746655062,6272400.38117628,4,Site,126
768014.957560169,6272396.28718428,4,Site,127
768026.081137973,6272391.05979876,4,Site,128
768034.303985291,6272387.01206399,4,Site,129
768042.526843094,6272382.9643397,4,Site,130
768050.749711382,6272378.9166259,4,Site,131
768058.972590156,6272374.86892258,4,Site,132
768067.195479415,6272370.82122975,4,Site,133
768075.41837916,6272366.7735474,4,Site,134
768083.64128939,6272362.72587554,4,Site,135
768091.864210105,6272358.67821416,4,Site,136
768100.087141306,6272354.63056326,4,Site,137
768108.310082992,6272350.58292285,4,Site,138
768116.533035164,6272346.53529292,4,Site,139
767927.219448189,6272445.89479138,5,Site,140
767935.431804739,6272441.80672107,5,Site,141
767943.644171863,6272437.7186612,5,Site,142
767951.856549562,6272433.6306118,5,Site,143
767960.068937836,6272429.54257284,5,Site,144
767968.281336684,6272425.45454435,5,Site,145
767976.493746106,6272421.36652631,5,Site,146
767984.706166104,6272417.27851872,5,Site,147
767992.918596675,6272413.19052159,5,Site,148
768001.131037822,6272409.10253491,5,Site,149
768009.343489542,6272405.01455869,5,Site,150
768017.555951838,6272400.92659292,5,Site,151
768027.609577736,6272395.61577334,5,Site,152
768035.829333975,6272391.55600979,5,Site,153
768044.049100726,6272387.49625672,5,Site,154
768052.268877988,6272383.43651412,5,Site,155
768060.488665764,6272379.37678199,5,Site,156
768068.708464051,6272375.31706034,5,Site,157
768076.92827285,6272371.25734917,5,Site,158
768085.148092161,6272367.19764847,5,Site,159
768093.367921985,6272363.13795825,5,Site,160
768101.58776232,6272359.0782785,5,Site,161
768109.807613168,6272355.01860923,5,Site,162
768118.027474527,6272350.95895044,5,Site,163
767920.864040666,6272445.66531857,5,Site,164
767929.079452932,6272441.58907106,5,Site,165
767937.294875745,6272437.512834,5,Site,166
767945.510309108,6272433.43660741,5,Site,167
767953.725753019,6272429.36039129,5,Site,168
767961.941207478,6272425.28418562,5,Site,169
767970.156672486,6272421.20799043,5,Site,170
767978.372148043,6272417.13180569,5,Site,171
767986.587634147,6272413.05563142,5,Site,172
767994.8031308,6272408.97946761,5,Site,173
768003.018638002,6272404.90331427,5,Site,174
768011.234155752,6272400.82717138,5,Site,175
768019.44968405,6272396.75103897,5,Site,176
768027.283362112,6272393.34245429,5,Site,177
768035.49424684,6272389.24832361,5,Site,178
768043.705142157,6272385.15420339,5,Site,179
768051.916048061,6272381.06009362,5,Site,180
768060.126964554,6272376.9659943,5,Site,181
768068.337891635,6272372.87190543,5,Site,182
768076.548829304,6272368.77782701,5,Site,183
768084.759777561,6272364.68375904,5,Site,184
768092.970736406,6272360.58970153,5,Site,185
768101.181705839,6272356.49565446,5,Site,186
768109.392685859,6272352.40161785,5,Site,187
768117.603676468,6272348.30759168,5,Site,188
767923.32504773,6272450.44888891,6,Site,189
767931.535746681,6272446.3544526,6,Site,190
767939.74645622,6272442.26002673,6,Site,191
767947.957176348,6272438.16561132,6,Site,192
767956.167907065,6272434.07120636,6,Site,193
767964.378648371,6272429.97681185,6,Site,194
767972.589400265,6272425.88242779,6,Site,195
