X,Y,Rang,Type,ID
768448.300475657,6271858.58631471,4,Site,105
768450.890193525,6271862.86338863,4,Site,106
768453.479911394,6271867.14046256,4,Site,107
768456.069629262,6271871.41753648,4,Site,108
768409.823938915,6271799.76873838,4,Site,109
768412.406115183,6271804.05036957,4,Site,110
768414.98829145,6271808.33200077,4,Site,111
768417.570467718,6271812.61363197,4,Site,112
768420.152643985,6271816.89526317,4,Site,113
768422.734820253,6271821.17689437,4,Site,114
768425.31699652,6271825.45852557,4,Site,115
768427.899172788,6271829.74015677,4,Site,116
768430.481349055,6271834.02178797,4,Site,117
768433.063525323,6271838.30341917,4,Site,118
768435.64570159,6271842.58505036,4,Site,119
768438.227877858,6271846.86668156,4,Site,120
768440.810054125,6271851.14831276,4,Site,121
768443.392230393,6271855.42994396,4,Site,122
768445.97440666,6271859.71157516,4,Site,123
768448.556582928,6271863.99320636,4,Site,124
768451.138759195,6271868.27483756,4,Site,125
768453.720935463,6271872.55646876,4,Site,126
768414.266750415,6271797.08245049,5,Site,127
768416.843508432,6271801.36734467,5,Site,128
768419.42026645,6271805.65223884,5,Site,129
768421.997024468,6271809.93713302,5,Site,130
768424.573782486,6271814.2220272,5,Site,131
768427.150540503,6271818.50692138,5,Site,132
768429.727298521,6271822.79181556,5,Site,133
768432.304056539,6271827.07670973,5,Site,134
768434.880814556,6271831.36160391,5,Site,135
768437.457572574,6271835.64649809,5,Site,136
768440.034330592,6271839.93139227,5,Site,137
768442.61108861,6271844.21628645,5,Site,138
768445.187846627,6271848.50118062,5,Site,139
768447.764604645,6271852.7860748,5,Site,140
768450.341362663,6271857.07096898,5,Site,141
768452.918120681,6271861.35586316,5,Site,142
768455.494878698,6271865.64075734,5,Site,143
768458.071636716,6271869.92565152,5,Site,144
768412.044425498,6271798.70727975,5,Site,145
768414.634143367,6271802.98435368,5,Site,146
768417.223861235,6271807.2614276,5,Site,147
768419.813579104,6271811.53850153,5,Site,148
768422.403296972,6271815.81557546,5,Site,149
768424.993014841,6271820.09264938,5,Site,150
768427.582732709,6271824.36972331,5,Site,151
768430.172450578,6271828.64679723,5,Site,152
768432.762168446,6271832.92387116,5,Site,153
768435.351886315,6271837.20094508,5,Site,154
768437.941604183,6271841.47801901,5,Site,155
768440.531322051,6271845.75509293,5,Site,156
768443.12103992,6271850.03216686,5,Site,157
768445.710757788,6271854.30924078,5,Site,158
768448.300475657,6271858.58631471,5,Site,159
768450.890193525,6271862.86338863,5,Site,160
768453.479911394,6271867.14046256,5,Site,161
768456.069629262,6271871.41753648,5,Site,162
768416.5295809,6271795.92366618,6,Site,163
768419.104518588,6271800.20965451,6,Site,164
768421.679456277,6271804.49564283,6,Site,165
